Designator,Mid X,Mid Y,Rotation,Layer
C1,33.0000,-78.0000,180.00,Top
C2,58.0000,-76.0000,0.00,Top
C3,58.0000,-79.0000,0.00,Top
D1,16.0000,-18.5000,0.00,Top
D2,16.0000,-26.5000,0.00,Top
D3,16.0000,-34.5000,0.00,Top
D4,16.0000,-42.5000,0.00,Top
D5,16.0000,-50.5000,0.00,Top
D6,16.0000,-58.5000,0.00,Top
Q1,43.0000,-22.0000,0.00,Top
Q2,43.0000,-30.0000,0.00,Top
Q3,43.0000,-38.0000,0.00,Top
Q4,43.0000,-46.0000,0.00,Top
Q5,43.0000,-54.0000,0.00,Top
Q6,43.0000,-62.0000,0.00,Top
Q7,43.0000,-70.0000,0.00,Top
R1,33.0000,-24.5000,180.00,Top
R2,33.0000,-32.5000,180.00,Top
R3,33.0000,-40.5000,180.00,Top
R4,33.0000,-48.5000,180.00,Top
R5,33.0000,-56.5000,180.00,Top
R6,33.0000,-64.5000,180.00,Top
R7,33.0000,-72.5000,180.00,Top
R17,51.0000,-70.0000,180.00,Top
R21,21.0000,-18.5000,180.00,Top
R22,21.0000,-26.5000,180.00,Top
R23,21.0000,-34.5000,180.00,Top
R24,21.0000,-42.5000,180.00,Top
R25,21.0000,-50.5000,180.00,Top
R26,21.0000,-58.5000,180.00,Top
